symbol,Current_Tier,VaR_P99.9,ES_P99.9,ES_VaR_Ratio_P99.9,Kurtosis_approx,VaR_score,ES_score,Ratio_score,Kurtosis_score,Risk_Score,Recommended_Tier,Alert_Level
ZEC,Tier 2,0.432833,0.424005,0.9796041429373453,2.5920828587469065,10.0,10.0,11.019792853132733,-0.8158342825061871,8.091781356781947,Tier 3,L3 - Emergency
CVX,Tier 2,0.404176,0.4031065,0.9973538755393689,2.947077510787379,10.0,10.0,10.132306223031552,-0.10584497842524243,8.011907560072839,Tier 3,L3 - Emergency
CRV,Tier 2,0.262651,0.25996850000000005,0.9897868273869128,2.7957365477382563,8.755033333333333,8.665616666666669,10.510658630654358,-0.4085269045234874,7.33887344342556,Tier 3,L2 - High Risk
UNI,Tier 2,0.232171,0.227837,0.9813327245866195,2.6266544917323893,7.7390333333333325,7.594566666666668,10.933363770669027,-0.7466910165352214,6.80435440602688,Tier 3,L2 - High Risk
SUI,Tier 2,0.230918,0.22808650000000003,0.9877380715232248,2.754761430464496,7.697266666666668,7.6028833333333345,10.61309642383876,-0.4904771390710083,6.765079511478823,Tier 3,L2 - High Risk
LINK,Tier 2,0.21751,0.2145765,0.9865132637579881,2.730265275159762,7.250333333333334,7.152550000000001,10.674336812100595,-0.5394694496804764,6.5239278130890535,Tier 3,L2 - High Risk
ARB,Tier 2,0.214544,0.211263,0.9847070997091505,2.69414199418301,7.151466666666667,7.0421,10.764645014542475,-0.6117160116339804,6.4747830513088225,Tier 3,L2 - High Risk
XRP,Tier 2,0.211707,0.207999,0.9824852272244186,2.649704544488371,7.056900000000001,6.9333,10.875738638779072,-0.7005909110232578,6.429211477490116,Tier 3,L2 - High Risk
DOGE,Tier 2,0.209855,0.20762950000000002,0.9893950584927689,2.7879011698553775,6.995166666666668,6.920983333333335,10.530247075361556,-0.424197660289245,6.376518070115875,Tier 3,L2 - High Risk
SOL,Tier 2,0.199194,0.19624550000000002,0.9851978473247186,2.703956946494372,6.6398,6.541516666666668,10.74010763376407,-0.592086107011256,6.193928853705434,Tier 3,L2 - High Risk
XMR,Tier 2,0.169683,0.1581015,0.9317462562543095,1.6349251250861903,5.6561,5.27005,13.412687187284524,-2.7301497498276195,5.821484346855607,Tier 2,L1 - Elevated
ETH,Tier 2,0.173121,0.17135050000000002,0.9897730489079893,2.795460978159787,5.7707,5.711683333333334,10.511347554600533,-0.40907804368042644,5.705152113247381,Tier 2,L1 - Elevated
BTC,Tier 2,0.107235,0.1061465,0.9898493961859468,2.796987923718936,3.5745,3.538216666666667,10.50753019070266,-0.40602415256212776,4.502581883829906,Tier 2,L1 - Elevated
