symbol,interval,P99.9,P0.1,VaR_P99.9,ES_P99.9,ES_VaR_Ratio_P99.9,P99,P1,VaR_P99,ES_P99,ES_VaR_Ratio_P99
ARB,5m,1.5996,-1.6161,1.6161,1.60785,0.994895117876369,0.7908,-0.7802,0.7908,0.7855,0.9932979261507334
ARB,15m,2.899,-2.9249,2.9249,2.91195,0.9955724982050669,1.4418,-1.3882,1.4418,1.415,0.9814121237342212
BTC,5m,0.8373,-0.8465,0.8465,0.8419000000000001,0.994565859421146,0.3897,-0.3882,0.3897,0.38895,0.998075442648191
BTC,15m,1.4909,-1.5092,1.5092,1.5000499999999999,0.9939371852637158,0.7068,-0.6952,0.7068,0.7010000000000001,0.991794001131862
CRV,5m,1.9025,-1.7598,1.9025,1.83115,0.962496714848883,0.9158,-0.8592,0.9158,0.8875,0.96909805634418
CRV,15m,3.4428,-3.1416,3.4428,3.2922000000000002,0.9562565353781806,1.6646,-1.5101,1.6646,1.58735,0.9535924546437582
CVX,5m,2.1417,-1.9811,2.1417,2.0614,0.9625064201335387,0.9456,-0.9102,0.9456,0.9279,0.9812817258883249
CVX,15m,3.8679,-3.3959,3.8679,3.6319,0.9389849789291346,1.6575,-1.5787,1.6575,1.6181,0.9762292609351434
DOGE,5m,1.772,-1.7505,1.772,1.76125,0.993933408577878,0.7811,-0.7782,0.7811,0.77965,0.9981436435795672
DOGE,15m,3.1659,-3.0705,3.1659,3.1182,0.9849331943523167,1.4096,-1.3842,1.4096,1.3969,0.9909903518728718
ETH,5m,1.0847,-1.1281,1.1281,1.1064,0.9807641166563248,0.5045,-0.5086,0.5086,0.5065500000000001,0.9959693275658671
ETH,15m,1.961,-2.0043,2.0043,1.98265,0.9891982238187895,0.9098,-0.9169,0.9169,0.9133500000000001,0.9961282582615335
LINK,5m,1.4539,-1.4241,1.4539,1.439,0.9897517023179037,0.7176,-0.7021,0.7176,0.70985,0.9892001114827201
LINK,15m,2.6066,-2.5346,2.6066,2.5705999999999998,0.9861889050870866,1.2834,-1.2365,1.2834,1.25995,0.98172822191055
SOL,5m,1.6272,-1.5156,1.6272,1.5714000000000001,0.96570796460177,0.7615,-0.733,0.7615,0.74725,0.9812869336835194
SOL,15m,2.916,-2.6524,2.916,2.7842000000000002,0.9548010973936901,1.372,-1.2964,1.372,1.3342,0.9724489795918367
SUI,5m,1.8714,-1.7313,1.8714,1.80135,0.9625681308111574,0.9286,-0.8661,0.9286,0.89735,0.9663471893172518
SUI,15m,3.328,-3.067,3.328,3.1975,0.9607872596153846,1.6866,-1.548,1.6866,1.6173000000000002,0.9589114194236927
UNI,5m,1.6346,-1.5484,1.6346,1.5915,0.9736326930135812,0.7685,-0.7418,0.7685,0.75515,0.9826284970722187
UNI,15m,3.0122,-2.7145,3.0122,2.86335,0.9505842905517562,1.385,-1.3217,1.385,1.35335,0.9771480144404332
XMR,5m,0.8835,-1.0636,1.0636,0.97355,0.9153347122978562,0.4451,-0.478,0.478,0.46155,0.9655857740585775
XMR,15m,1.49,-1.9504,1.9504,1.7202,0.8819729286300246,0.7424,-0.8185,0.8185,0.78045,0.953512522907758
XRP,5m,1.6205,-1.5831,1.6205,1.6018,0.9884603517432891,0.674,-0.6632,0.674,0.6686000000000001,0.9919881305637983
XRP,15m,2.9849,-2.7885,2.9849,2.8867000000000003,0.9671010754129117,1.2129,-1.1866,1.2129,1.19975,0.9891582158463188
ZEC,5m,2.2178,-2.1591,2.2178,2.18845,0.9867661646676887,0.9691,-0.9291,0.9691,0.9491,0.9793622949128058
ZEC,15m,3.7947,-3.6692,3.7947,3.7319500000000003,0.9834637784278072,1.7166,-1.6306,1.7166,1.6736,0.9749504835139229
ARB,5s,0.214544,-0.207982,0.214544,0.211263,0.9847070997091505,0.106147,-0.105534,0.106147,0.1058405,0.9971124949362676
BTC,5s,0.107235,-0.105058,0.107235,0.1061465,0.9898493961859468,0.049552,-0.049871,0.049871,0.0497115,0.9968017485111588
CRV,5s,0.262651,-0.257286,0.262651,0.25996850000000005,0.9897868273869128,0.130605,-0.128535,0.130605,0.12957000000000002,0.9920753416791089
CVX,5s,0.404176,-0.402037,0.404176,0.4031065,0.9973538755393689,0.193939,-0.193723,0.193939,0.193831,0.9994431238688454
DOGE,5s,0.209855,-0.205404,0.209855,0.20762950000000002,0.9893950584927689,0.099181,-0.099121,0.099181,0.099151,0.9996975227110031
ETH,5s,0.173121,-0.16958,0.173121,0.17135050000000002,0.9897730489079893,0.078034,-0.07755,0.078034,0.077792,0.9968987877079221
LINK,5s,0.21751,-0.211643,0.21751,0.2145765,0.9865132637579881,0.125628,-0.130995,0.130995,0.1283115,0.9795144852856978
SOL,5s,0.199194,-0.193297,0.199194,0.19624550000000002,0.9851978473247186,0.091348,-0.091243,0.091348,0.0912955,0.999425274773394
SUI,5s,0.230918,-0.225255,0.230918,0.22808650000000003,0.9877380715232248,0.110094,-0.110151,0.110151,0.1101225,0.9997412642645096
UNI,5s,0.232171,-0.223503,0.232171,0.227837,0.9813327245866195,0.106308,-0.105233,0.106308,0.10577049999999999,0.9949439364864355
XMR,5s,0.14652,-0.169683,0.169683,0.1581015,0.9317462562543095,0.071685,-0.072359,0.072359,0.072022,0.9953426664271203
XRP,5s,0.211707,-0.204291,0.211707,0.207999,0.9824852272244186,0.092513,-0.09193,0.092513,0.0922215,0.9968490914790353
ZEC,5s,0.432833,-0.415177,0.432833,0.424005,0.9796041429373453,0.187589,-0.18521,0.187589,0.1863995,0.9936590098566547
